CatalogNumber,TL,BL,GS,LTRF,AnExt,AnCom,Pos,Asymmetry
ICN 53809,28.66,11.65,28,1/2(1),1,1,2,NA
ICN 53809,43.94,16.09,34, 1/2,1,1,2,NA
ICN 53809,50.01,18.19,35,2(2)/2,2,2,2,NA
ICN 53809,62.94,19.77,40,2(2)/2,2,2,2,NA
ICN 53809,66.37,21.54,40,1/2(1),1,1,2,NA
ICN 53810,39.34,14.04,31,NA,NA,NA,NA,NA
ICN 53810,54.45,18.11,34, 1/2,1,1,2,NA
ICN 53810,46.13,16.80,35,1/2(1),1,1,2,NA
ICN 53810,54.27,17.85,35,1/2(1),1,1,2,NA
ICN 53810,59.05,18.10,35, 1/2,1,1,2,NA
ICN 53810,47.80,16.15,36,1/2(1),1,1,2,NA
ICN 53810,56.55,16.95,36, 1/2,1,1,2,NA
ICN 53810,54.40,18.35,36,1/2(1),1,1,2,NA
ICN 53810,53.40,17.17,36,2(2)/2,2,2,2,N
ICN 53810,57.60,17.40,36,2(2)/2(1),2,2,2,Left
ICN 53810,52.15,17.79,36,2(2)/2,2,2,2,Right
ICN 53810,60.70,18.43,36,2(2)/2,2,2,2,N
ICN 53810,61.20,17.35,37, 1/2,1,1,2,NA
ICN 53810,56.80,17.54,37, 1/2,1,1,2,NA
ICN 53810,61.55,17.80,37,1/2(1),1,1,2,NA
ICN 53810,55.75,17.45,37, 1/2,1,1,2,NA
ICN 53810,57.70,15.60,37,2(2)/2(1),2,2,,N
ICN 53810,53.78,18.00,37,2(2)/2(1),2,2,2,Right
ICN 53810,57.00,18.74,38,2(2)/2,2,2,2,Right
ICN 53810,58.25,16.85,39,1/2(1),1,1,2,NA
ICN 53810,58.90,17.25,39,1/2(1),1,1,2,NA
ICN 53810,58.24,17.71,39, 1/2,1,1,2,NA
ICN 53810,55.06,18.02,39,1/2(1),1,1,2,NA
ICN 53810,64.98,20.35,39,_2_/2(1),2,1,2,NA
ICN 53810,58.15,16.10,39,2(2)/2(1),2,2,2,Left
ICN 53810,57.00,16.65,39,2(2)/2(1),2,2,2,N
ICN 53810,60.70,17.30,39,2(2)/2,2,2,2,N
ICN 53810,59.05,18.27,39,2(2)/2,2,2,2,N
ICN 53810,54.30,16.60,40, 1/2,1,1,2,NA
ICN 53810,52.68,16.80,40,1/2(1),1,1,2,NA
ICN 53810,55.02,17.18,40, 1/2,1,1,2,NA
ICN 53810,52.60,16.40,40,2(2)/2(1),2,2,2,Right
ICN 53810,58.70,16.90,40,2(2)/2(1),2,2,2,Right
ICN 53810,49.70,17.00,40,2(2)/2(1),2,2,2,N
ICN 53810,59.25,17.50,40,2(2)/2,2,2,2,Left
ICN 53810,51.60,15.95,41,1/2(1),1,1,2,NA
ICN 53810,49.96,15.70,42,NA,NA,NA,NA,NA
ICN 53810,57.75,17.40,42,NA,NA,NA,NA,NA
ICN 53810,40.35,15.25,43,NA,NA,NA,NA,NA
ICN 53811,19.63,6.24,27,1/2(1),1,1,2,NA
ICN 53811,26.81,8.79,27, 1/2,1,1,2,NA
ICN 53811,32.74,10.28,27,1/2(1),1,1,2,NA
ICN 53811,28.92,9.58,28, 1/2,1,1,2,NA
ICN 53811,30.87,9.72,28,1/2(1),1,1,2,NA
ICN 53811,31.10,9.90,28,1/2(1),1,1,2,NA
ICN 53811,33.09,11.08,28,    1/   2,1,1,2,NA
ICN 53811,32.20,10.19,29, 1/2,1,1,2,NA
ICN 53811,36.25,10.28,29,1/2(1),1,1,2,NA
ICN 53811,34.95,10.79,29,1/2(1),1,1,2,NA
ICN 53811,34.60,10.79,29,1/2(1),1,1,2,NA
ICN 53811,30.50,10.82,29,1/2(1),1,1,2,NA
ICN 53811,36.91,10.84,29,1/2(1),1,1,2,NA
ICN 53811,34.74,10.86,29,1/2(1),1,1,2,NA
ICN 53811,43.05,14.06,29,1/2(1),1,1,2,NA
ICN 53811,38.76,11.46,29,_2_(2)/2,2,1,2,N
ICN 53811,31.58,8.90,29,2(2)/2,2,2,2,Left
ICN 53811,40.21,12.29,29,2(2)/2(1),2,2,2,Left
ICN 53811,36.25,1.63,30,1/2(1),1,1,2,NA
ICN 53811,32.23,10.30,30, 1/2,1,1,2,NA
ICN 53811,33.77,10.42,30,1/2(1),1,1,2,NA
ICN 53811,37.47,11.75,30, 1/2,1,1,2,NA
ICN 53811,38.45,12.33,30,1(1)/2(1),1,1,2,NA
ICN 53811,34.17,12.41,30,1/2(1),1,1,2,NA
ICN 53811,32.56,10.52,30,_2_(2)/2,2,1,2,Left
ICN 53811,34.71,10.80,30,_2_(2)/2(1),2,1,2,Right
ICN 53811,47.82,12.29,30,_2_(2)/2,2,1,2,Left
ICN 53811,35.49,10.53,30,2(2)/2,2,2,2,Right
ICN 53811,35.97,11.30,31, 1/2,1,1,2,NA
ICN 53811,39.42,11.75,31, 1/2,1,1,2,NA
ICN 53811,37.69,12.00,31, 1/2,1,1,2,NA
ICN 53811,38.93,12.10,31, 1/2,1,1,2,NA
ICN 53811,41.21,14.00,31, 1/2,1,1,2,NA
ICN 53811,41.61,13.65,31,2(2)/2(1),2,2,2,Right
ICN 53811,34.74,11.18,32,1/2(1),1,1,2,NA
ICN 53811,37.81,12.56,32, 1/2,1,1,2,NA
ICN 53811,38.10,12.15,33, 1/2,1,1,2,NA
ICN 53811,34.78,12.22,33,1/2(1),1,1,2,NA
ICN 53811,39.92,12.27,33,1/2(1),1,1,2,NA
ICN 53811,41.41,12.62,33,1/2(1),1,1,2,NA
ICN 53811,41.43,12.63,33,1/2(1),1,1,2,NA
ICN 53811,37.25,12.75,33, 1/2,1,1,2,NA
ICN 53811,40.84,12.79,33,1/2(1),1,1,2,NA
ICN 53811,41.12,12.80,33,1/2(1),1,1,2,NA
ICN 53811,39.41,12.81,33,1/2(1),1,1,2,NA
ICN 53811,42.56,13.16,33,1/2(1),1,1,2,NA
ICN 53811,39.96,13.26,33,1/2(1),1,1,2,NA
ICN 53811,42.64,13.28,33, 1/2,1,1,2,NA
ICN 53811,43.04,13.32,33,1/2(1),1,1,2,NA
ICN 53811,41.95,13.37,33, 1/2,1,1,2,NA
ICN 53811,42.09,13.54,33, 1/2,1,1,2,NA
ICN 53811,37.18,13.70,33, 1/2,1,1,2,NA
ICN 53811,43.42,13.70,33,1/2(1),1,1,2,NA
ICN 53811,44.24,13.75,33,1/2(1),1,1,2,NA
ICN 53811,46.34,13.76,33, 1/2,1,1,2,NA
ICN 53811,43.45,13.80,33,1/2(1),1,1,2,NA
ICN 53811,42.79,13.98,33,1/2(1),1,1,2,NA
ICN 53811,45.57,14.00,33,1/2(1),1,1,2,NA
ICN 53811,46.90,14.12,33, 1/2,1,1,2,NA
ICN 53811,43.40,14.22,33, 1/2,1,1,2,NA
ICN 53811,37.76,12.86,33,2(2)/2,2,2,2,N
ICN 53811,44.55,12.89,33,"2(2,2)/2",2,2,2,N
ICN 53811,41.15,12.94,33,2(2)/2,2,2,2,N
ICN 53811,21.86,13.56,33,2(2)/2(1),2,2,2,Left
ICN 53811,40.25,13.77,33,2(2)/2,2,2,2,Left
ICN 53811,27.03,14.30,33,2(2)/2(1),2,2,2,Right
ICN 53811,37.96,11.79,34,1/2(1),1,1,2,NA
ICN 53811,33.40,12.17,34,1/2(1),1,1,2,NA
ICN 53811,40.57,13.04,34,1/2(1),1,1,2,NA
ICN 53811,42.49,13.07,34,1/2(1),1,1,2,NA
ICN 53811,40.28,13.50,34,1/2(1),1,1,2,NA
ICN 53811,47.80,13.52,34,1/2(1),1,1,2,NA
ICN 53811,44.99,13.77,34,1/2(1),1,1,2,NA
ICN 53811,48.02,14.35,34, 1/2,1,1,2,NA
ICN 53811,50.84,14.59,34, 1/2,1,1,2,NA
ICN 53811,45.37,14.60,34, 1/2,1,1,2,NA
ICN 53811,41.81,13.80,34,_2_(2)/2,2,1,2,Left
ICN 53811,48.64,15.51,34,_2_(2)/2,2,1,2,Right
ICN 53811,41.26,12.62,34,2(2)/2(1),2,2,2,N
ICN 53811,40.60,13.06,34,2(2)/2(1),2,2,2,Right
ICN 53811,41.60,13.50,34,2(2)/2,2,2,2,Right
ICN 53811,40.78,13.77,34,2(2)/2(1),2,2,2,Left
ICN 53811,43.15,13.89,34,2(2)/2,2,2,2,N
ICN 53811,41.38,14.00,34,2(2)/2,2,2,2,N
ICN 53811,45.90,14.60,34,2(2)/2,2,2,2,N
ICN 53811,45.17,14.64,34,2(2)/2(1),2,2,2,Left
ICN 53811,45.65,14.87,34,2(2)/2,2,2,2,Left
ICN 53811,46.86,14.24,35,1/2(1),1,1,2,NA
ICN 53811,50.73,14.58,35, 1/2,1,1,2,NA
ICN 53811,46.16,14.60,35,1/2(1),1,1,2,NA
ICN 53811,45.82,14.66,35,1/2(1),1,1,2,NA
ICN 53811,43.86,14.75,35,1/2(1),1,1,2,NA
ICN 53811,34.00,15.00,35,1/2(1),1,1,2,NA
ICN 53811,47.90,15.24,35, 1/2,1,1,2,NA
ICN 53811,48.13,15.49,35,1/2(1),1,1,2,NA
ICN 53811,52.68,15.72,35,1/2(1),1,1,2,NA
ICN 53811,47.18,15.86,35,1/2(1),1,1,2,NA
ICN 53811,47.45,16.03,35,1/2(1),1,1,2,NA
ICN 53811,44.88,13.89,35,_2_(2)/2(1),2,1,2,Right
ICN 53811,42.11,13.90,35,_2_(2)/2(1),2,1,2,Left
ICN 53811,39.41,14.51,35,_2_(2)/2(1),2,1,2,Right
ICN 53811,44.55,4.77,35,2(2)/2,2,2,2,N
ICN 53811,44.57,13.61,35,2(2)/2,2,2,2,N
ICN 53811,46.49,13.86,35,2(2)/2(1),2,2,2,Right
ICN 53811,44.48,14.07,35,2(2)/2(1),2,2,2,N
ICN 53811,50.14,14.49,35,2(2)/2(1),2,2,2,N
ICN 53811,44.50,14.55,35,2(2)/2,2,2,2,N
ICN 53811,46.38,14.55,35,2(2)/2,2,2,2,N
ICN 53811,43.97,14.61,35,2(2)/2,2,2,2,N
ICN 53811,44.93,14.62,35,2(2)/2(1),2,2,2,N
ICN 53811,48.58,14.75,35,2(2)/2(1),2,2,2,N
ICN 53811,50.87,14.76,35,2(2)/2,2,2,2,N
ICN 53811,44.78,14.85,35,2(2)/2,2,2,2,Left
ICN 53811,47.56,14.96,35,2(2)/2(1),2,2,2,N
ICN 53811,50.52,15.16,35,2(2)/2,2,2,2,N
ICN 53811,48.84,15.22,35,2(2)/2(1),2,2,2,Left
ICN 53811,47.36,15.26,35,2(2)/2,2,2,2,N
ICN 53811,43.85,15.41,35,2(2)/2,2,2,2,N
ICN 53811,48.77,15.41,35,2(2)/2(1),2,2,2,N
ICN 53811,47.04,15.52,35,2(2)/2(1),2,2,2,N
ICN 53811,46.13,15.58,35,2(2)/2(1),2,2,2,N
ICN 53811,45.89,15.58,35,2(2)/2,2,2,2,N
ICN 53811,50.69,15.81,35,2(2)/2(1),2,2,2,N
ICN 53811,40.26,14.14,36, 1/2,1,1,2,NA
ICN 53811,43.50,14.73,36,1/2(1),1,1,2,NA
ICN 53811,46.10,15.40,36,1/2(1),1,1,2,NA
ICN 53811,48.71,15.93,36,1/2(1),1,1,2,NA
ICN 53811,57.55,16.10,36,1/2(1),1,1,2,NA
ICN 53811,50.06,15.43,36,2(2)/2,2,2,2,N
ICN 53811,37.95,15.50,36,2(2)/2(1),2,2,2,Left
ICN 53811,50.90,15.61,36,2(2)/2(1),2,2,2,Right
ICN 53811,51.50,16.10,36,2(2)/2(1),2,2,2,N
ICN 53811,49.51,16.40,36,2(2)/2,2,2,2,Left
ICN 53811,48.94,15.54,37,1/2(1),1,1,2,NA
ICN 53811,53.39,15.75,37, 1/2,1,1,2,NA
ICN 53811,51.36,16.09,37,1/2(1),1,1,2,NA
ICN 53811,51.05,16.56,37,1/2(1),1,1,2,NA
ICN 53811,58.03,16.98,37,1/2(1),1,1,2,NA
ICN 53811,53.75,16.34,37,2(2)/2(1),2,2,2,Left
ICN 53811,55.46,16.62,37,2(2)/2(1),2,2,2,Right
ICN 53811,56.90,16.65,38, 1/2,1,1,2,NA
ICN 53811,51.57,17.04,38,1/2(1),1,1,2,NA
ICN 53811,60.01,17.50,38,1/2(1),1,1,2,NA
ICN 53811,57.40,17.59,38, 1/2,1,1,2,NA
ICN 53811,54.00,16.37,39, 1/2,1,1,2,NA
ICN 53811,55.81,16.39,39, 1/2,1,1,2,NA
ICN 53811,51.30,16.75,39, 1/2,1,1,2,NA
ICN 53811,53.34,16.79,39,1/2(1),1,1,2,NA
ICN 53811,56.89,17.13,39,1/2(1),1,1,2,NA
ICN 53811,49.95,17.53,39,1/2(1),1,1,2,NA
ICN 53811,62.85,18.84,39, 1/2,1,1,2,NA
ICN 53811,52.39,15.99,39,_2_(2)/2(1),2,1,2,N
ICN 53811,51.95,15.24,39,2(2)/2(1),2,2,2,Left
ICN 53811,52.04,15.95,39,2(2)/2(1),2,2,2,Right
ICN 53811,55.15,16.85,39,2(2)/2,2,2,2,N
ICN 53811,55.41,17.04,39,2(2)/2(1),2,2,2,N
ICN 53811,58.33,17.09,39,2(2)/2,2,2,2,N
ICN 53811,51.25,15.59,40, 1/2,1,1,2,NA
ICN 53811,54.86,16.18,40,1/2(1),1,1,2,NA
ICN 53811,51.95,16.86,40,1/2(1),1,1,2,NA
ICN 53811,56.50,16.90,40, 1/2,1,1,2,NA
ICN 53811,53.59,17.44,40, 1/2,1,1,2,NA
ICN 53811,61.49,16.41,40,_2_(2)/2(1),2,1,2,Left
ICN 53811,54.95,16.75,40,2(2)/2(1),2,2,2,Left
ICN 53811,55.71,17.74,40,2(2)/2,2,2,2,Left
ICN 53811,55.39,17.96,40,2(2)/2,2,2,2,Left
ICN 53811,50.10,16.20,41, 1/2,1,1,2,NA
ICN 53811,57.05,17.10,41, 1/2,1,1,2,NA
ICN 53811,59.86,17.95,41, 1/2,1,1,2,NA
ICN 53811,56.94,15.94,41,NA,NA,NA,NA,NA
ICN 53811,55.78,16.81,41,NA,NA,NA,NA,NA
ICN 53812,9.75,3.55,25,0/2,0,0,2,NA
ICN 53812,7.12,3.23,25,1/2(1),1,1,2,NA
ICN 53812,14.29,4.38,25,1/2(1),1,1,2,NA
ICN 53812,12.46,4.45,25,1/2(1),1,1,2,NA
ICN 53812,11.85,4.52,25,1/2(1),1,1,2,NA
ICN 53812,12.09,4.70,25,1/2,1,1,2,NA
ICN 53812,13.78,4.94,25,1/2(1),1,1,2,NA
ICN 53812,11.76,4.48,26,1/2(1),1,1,2,NA
ICN 53812,11.94,4.57,26,1/2(1),1,1,2,NA
ICN 53812,14.29,4.83,26,1/2(1),1,1,2,NA
ICN 53812,14.87,4.84,26,1/2(1),1,1,2,NA
ICN 53812,14.73,4.97,26,1/2(1),1,1,2,NA
ICN 53812,12.40,5.04,26,1/2(1),1,1,2,NA
ICN 53812,13.68,5.06,26,1/2(1),1,1,2,NA
ICN 53812,13.76,5.31,26,1/2(1),1,1,2,NA
ICN 53812,13.90,5.44,26,1/2(1),1,1,2,NA
ICN 53812,19.06,5.82,26,1/2(1),1,1,2,NA
ICN 53812,20.55,6.36,26,1/2,1,1,2,NA
ICN 53812,19.50,6.60,26,1/2(1),1,1,2,NA
ICN 53812,20.98,6.61,26,1/2(1),1,1,2,NA
ICN 53812,20.45,7.00,26,1/2(1),1,1,2,NA
ICN 53812,22.81,7.30,26,_2_(2)/2(1),2,1,2,Right
ICN 53812,15.90,5.20,27,1/2(1),1,1,2,NA
ICN 53812,17.49,5.84,27,1/2(1),1,1,2,NA
ICN 53812,18.89,5.86,27,1/2(1),1,1,2,NA
ICN 53812,18.05,5.98,27,1/2(1),1,1,2,NA
ICN 53812,16.12,6.23,27,1/2(1),1,1,2,NA
ICN 53812,19.00,6.28,27,1/2(1),1,1,2,NA
ICN 53812,19.27,6.30,27,1/2(1),1,1,2,NA
ICN 53812,20.49,6.45,27,1/2(1),1,1,2,NA
ICN 53812,19.40,6.50,27,1/2(1),1,1,2,NA
ICN 53812,18.40,6.52,27,1/2(1),1,1,2,NA
ICN 53812,19.30,6.75,27,1/2(1),1,1,2,NA
ICN 53812,20.00,6.80,27,1/2(1),1,1,2,NA
ICN 53812,19.40,6.85,27,1/2(1),1,1,2,NA
ICN 53812,18.24,6.87,27,1/2(1),1,1,2,NA
ICN 53812,21.24,6.94,27,1/2(1),1,1,2,NA
ICN 53812,22.52,6.98,27,2(2)/2(1),1,1,2,NA
ICN 53812,19.85,7.00,27,1/2(1),1,1,2,NA
ICN 53812,20.63,7.12,27,1/2(1),1,1,2,NA
ICN 53812,20.10,7.15,27,1/2(1),1,1,2,NA
ICN 53812,21.39,7.20,27,1/2(1),1,1,2,NA
ICN 53812,22.38,7.31,27,1/2(1),1,1,2,NA
ICN 53812,19.00,7.40,27,1/2(1),1,1,2,NA
ICN 53812,19.80,7.41,27,1/2(1),1,1,2,NA
ICN 53812,21.80,7.44,27,1/2(1),1,1,2,NA
ICN 53812,22.13,7.45,27,1/2(1),1,1,2,NA
ICN 53812,23.97,7.55,27,1/2,1,1,2,NA
ICN 53812,23.91,7.58,27,1/2(1),1,1,2,NA
ICN 53812,16.38,7.58,27,1/2(1),1,1,2,NA
ICN 53812,22.40,7.61,27,1/2(1),1,1,2,NA
ICN 53812,21.40,7.65,27,1/2,1,1,2,NA
ICN 53812,25.20,7.66,27,1/2,1,1,2,NA
ICN 53812,23.96,7.83,27,1/2(1),1,1,2,NA
ICN 53812,20.82,7.85,27,1/2(1),1,1,2,NA
ICN 53812,26.35,8.05,27,1/2(1),1,1,2,NA
ICN 53812,25.35,8.23,27,1/2,1,1,2,NA
ICN 53812,24.05,8.60,27,1/2,1,1,2,NA
ICN 53812,23.70,8.69,27,1/2(1),1,1,2,NA
ICN 53812,23.30,8.70,27,1/2(1),1,1,2,NA
ICN 53812,19.60,6.45,27,_2_(2)/2(1),2,1,2,N
ICN 53812,19.96,6.94,27,_2_(2)/2(1),2,1,2,Left
ICN 53812,22.05,7.35,27,_2_(2)/2(1),2,1,2,Left
ICN 53812,20.80,7.66,27,_2_(2)/2,2,1,2,N
ICN 53812,27.15,8.97,27,_2_(2)/2,2,1,2,Left
ICN 53812,19.00,7.00,27,2(2)/2(1),2,2,2,Left
ICN 53812,23.57,8.04,27,2(2)/2,2,2,2,N
ICN 53812,25.85,8.40,27,2(2)/2(1),2,2,2,N
ICN 53812,21.40,6.77,28,1/2(1),1,1,2,NA
ICN 53812,22.16,6.86,28,1/2(1),1,1,2,NA
ICN 53812,21.77,7.40,28,1/2,1,1,2,NA
ICN 53812,22.80,7.56,28,1/2(1),1,1,2,NA
ICN 53812,23.14,7.71,28,1/2(1),1,1,2,NA
ICN 53812,25.75,7.74,28,1/2(1),1,1,2,NA
ICN 53812,24.02,8.05,28,1/2,1,1,2,NA
ICN 53812,24.41,8.12,28,1/2,1,1,2,NA
ICN 53812,24.14,8.20,28,1/2(1),1,1,2,NA
ICN 53812,25.26,8.25,28,1/2(1),1,1,2,NA
ICN 53812,23.52,8.31,28,1/2(1),1,1,2,NA
ICN 53812,23.10,8.48,28,1/2(1),1,1,2,NA
ICN 53812,26.65,8.54,28,1/2(1),1,1,2,NA
ICN 53812,15.80,8.60,28,1/2(1),1,1,2,NA
ICN 53812,23.85,8.63,28,1/2(1),1,1,2,NA
ICN 53812,22.09,8.68,28,1/2(1),1,1,2,NA
ICN 53812,26.40,8.69,28,1/2,1,1,2,NA
ICN 53812,27.81,8.70,28,1/2(1),1,1,2,NA
ICN 53812,22.75,8.89,28,1/2(1),1,1,2,NA
ICN 53812,27.62,8.90,28,1/2(1),1,1,2,NA
ICN 53812,20.28,9.14,28,1/2(1),1,1,2,NA
ICN 53812,30.64,9.99,28,1/2(1),1,1,2,NA
ICN 53812,21.35,6.39,28,_2_(2)/2(1),2,1,2,Right
ICN 53812,21.68,6.40,28,_2_(2)/2(1),2,1,2,Left
ICN 53812,21.14,6.57,28,_2_(2)/2(1),2,1,2,Left
ICN 53812,24.04,7.44,28,_2_(2)/2(1),2,1,2,Left
ICN 53812,22.95,7.55,28,_2_(2)/2(1),2,1,2,N
ICN 53812,21.18,7.70,28,_2_(2)/2(1),2,1,2,N
ICN 53812,24.20,7.80,28,_2_(2)/2(1),2,1,2,Right
ICN 53812,23.41,8.04,28,_2_(2)/2(1),2,1,2,N
ICN 53812,26.91,8.49,28,_2_(2)/2(1),2,1,2,N
ICN 53812,26.90,8.50,28,_2_(2)/2(1),2,1,2,Right
ICN 53812,24.35,8.53,28,_2_(2)/2,2,1,2,Right
ICN 53812,24.30,8.59,28,_2_(2)/2(1),2,1,2,Left
ICN 53812,26.85,8.66,28,_2_(2)/2(1),2,1,2,Right
ICN 53812,28.80,8.74,28,_2_(2)/2,2,1,2,Left
ICN 53812,28.70,8.78,28,_2_(2)/2(1),2,1,2,N
ICN 53812,25.95,8.96,28,_2_(2)/2(1),2,1,2,Right
ICN 53812,27.36,9.20,28,_2_(2)/2(1),2,1,2,Left
ICN 53812,29.04,9.37,28,_2_(2)/2(1),2,1,2,Right
ICN 53812,27.61,9.61,28,_2_(2)/2(1),2,1,2,N
ICN 53812,28.16,9.96,28,_2_(2)/2(1),2,1,2,N
ICN 53812,22.67,7.45,28,2(2)/2(1),2,2,2,N
ICN 53812,23.34,7.56,28,2(2)/2(1),2,2,2,Left
ICN 53812,26.13,7.80,28,2(2)/2,2,2,2,Left
ICN 53812,24.43,8.34,28,2(2)/2(1),2,2,2,N
ICN 53812,25.60,8.75,28,2(2)/2(1),2,2,2,Right
ICN 53812,24.75,8.76,28,2(2)/2(1),2,2,2,N
ICN 53812,23.76,8.93,28,2(2)/2,2,2,2,N
ICN 53812,26.46,9.10,28,2(2)/2(1),2,2,2,Right
ICN 53812,27.31,9.24,28,2(2)/2(1),2,2,2,N
ICN 53812,28.55,9.39,28,2(2)/2(1),2,2,2,N
ICN 53812,26.68,8.10,29,1/2,1,1,2,NA
ICN 53812,25.60,8.62,29,1/2,1,1,2,NA
ICN 53812,22.00,7.64,29,_2_(2)/2(1),2,1,2,N
ICN 53812,25.5,8.37,29,_2_(2)/2(1),2,1,2,N
ICN 53812,27.64,8.47,29,_2_(2)/2(1),2,1,2,Left
ICN 53812,25.20,8.55,29,_2_(2)/2(1),2,1,2,Left
ICN 53812,27.50,8.71,29,_2_(2)/2(1),2,1,2,Left
ICN 53812,29.01,9.23,29,_2_(2)/2(1),2,1,2,N
ICN 53812,27.80,9.26,29,_2_(2)/2(1),2,1,2,Right
ICN 53812,26.06,9.54,29,_2_(2)/2(1),2,1,2,N
ICN 53812,28.24,9.64,29,_2_(2)/2(1),2,1,2,N
ICN 53812,27.84,9.71,29,_2_(2)/2(1),2,1,2,Left
ICN 53812,29.74,9.74,29,_2_(2)/2(1),2,1,2,Left
ICN 53812,26.30,9.86,29,_2_(2)/2(1),2,1,2,Right
ICN 53812,31.85,9.94,29,_2_(2)/2(1),2,1,2,Left
ICN 53812,32.18,10.15,29,_2_(2)/2(1),2,1,2,Right
ICN 53812,27.29,8.00,29,2(2)/2(1),2,2,2,N
ICN 53812,27.04,8.80,29,2(2)/2,2,2,2,N
ICN 53812,32.14,10.72,29,2(2)/2,2,2,2,N
ICN 53812,32.90,10.83,30,2(2)/2(1),2,2,2,N
ICN 45840,45.54,15.05,35,2(2)/2(1),2,2,2,N
ICN 45840,45.54,15.5,36,2(2)/2(1),2,2,2,N
ICN 45840,51.96,17.61,38,2(2)/2,2,2,2,N
ICN 45840,48.04,15.84,39,2(2)/2(1),2,2,2,N
ICN 45840,46.99,45.46,40,2(2)/2,2,2,2,N
ICN 45840,49.56,16.48,39,2(2)/2,2,2,2,N
ICN 45840,49.43,16.64,40,2(2)/2,2,2,2,N
ICN 45840,50.83,16.43,39,2(2)/2,2,2,2,N
ICN 45840,48.05,15.92,40,2(2)/2,2,2,2,N
ICN 45840,50.36,16.97,40,2(2)/2(1),2,2,2,N
ICN 45881,10.76,4.21,25,1/2,1,1,2,NA
ICN 45881,13.45,5.54,25,1/2(1),1,1,2,NA
ICN 45881,15.68,5.7,25,1/2(1),1,1,2,NA
ICN 45881,13.26,5.76,25,1/2,1,1,2,NA
ICN 45881,15.63,5.86,25,1/2(1),1,1,2,NA
ICN 45881,20.16,6.57,25,2(2)/2(1),2,2,2,N
ICN 45881,15.58,6.7,25,2(2)/2(1),2,2,2,I
ICN 45881,21.7,7.19,25,1/2(1),1,1,2,NA
ICN 45881,21.24,7.68,25,1/2(1),1,1,2,NA
ICN 45881,21.79,8.51,25,1/2(1),1,1,2,NA
ICN 45881,25.24,9.06,25,2(2)/2(1),2,2,2,Right
ICN 45881,26.33,9.15,25,2(2)/2,2,2,2,N
ICN 45881,28,9.67,25,1/2,1,1,2,NA
ICN 45881,26.8,9.86,25,1/2(1),1,1,2,NA
ICN 45881,30.74,9.98,25,2(2)/2(1),2,2,2,N
ICN 45881,29.36,10.3,25,NA,NA,NA,NA,NA
ICN 45881,21.48,7.25,26,1/2(1),1,1,2,NA
ICN 45881,25.25,8.64,26,1/2,1,1,2,NA
ICN 45881,17.69,8.66,26,1/2(1),1,1,2,NA
ICN 45881,26.5,9.07,26,2(2)/2,2,2,2,N
ICN 45881,24.87,9.34,26,2(2)/2,2,2,2,N
ICN 45881,23.32,9.39,26,2(2)/2,2,2,2,N
ICN 45881,27.24,9.45,26,1/2(1),1,1,2,NA
ICN 45881,27.69,9.54,26,NA,NA,NA,NA,NA
ICN 45881,25.1,10.01,26,2(2)/2(1),2,2,2,Right
ICN 45881,33.05,10.54,26,2[1](2)/2(1),2,2,2,N
ICN 45881,30.88,11.12,26,2(2)/2,2,2,2,Right
ICN 45881,23.25,12.92,26,2(2)/2(1),2,2,2,N
ICN 45881,40.86,13.45,26,2(2)/2(1),2,2,2,N
ICN 45881,38.31,13.63,27,1/2,1,1,2,NA
ICN 45881,39.52,14.01,28,1/2(1),1,1,2,NA
ICN 45881,45.74,13.68,29,NA,NA,NA,NA,NA
ICN 45881,44.14,14.04,31,1/2(1),1,1,2,NA
ICN 45881,45.24,14.8,33,2(2)/2(1),2,2,2,N
ICN 45881,48.84,16.54,33,1/2,1,1,2,NA
ICN 45881,53.66,18.19,41,NA,NA,NA,NA,NA
ICN 53808,10.90,4.25,25, 1/2,1,1,2,NA
ICN 53808,15.45,4.55,25,1/2(1),1,1,2,NA
ICN 53808,7.40,4.65,25,1/2(1),1,1,2,NA
ICN 53808,16.80,4.70,25, 1/2,1,1,2,NA
ICN 53808,9.30,3.95,25,NA,NA,NA,NA,NA
ICN 53808,25.45,7.20,26,1/2(1),1,1,2,NA
ICN 53808,23.65,7.35,26,1/2(1),1,1,2,NA
ICN 53808,21.70,7.30,27,1/2(1),1,1,2,NA
ICN 53808,31.30,8.90,27, 1/2,1,1,2,NA
ICN 53808,30.75,8.90,27, 1/2,1,1,2,NA
ICN 53808,30.25,9.65,27,1/2(1),1,1,2,NA
ICN 53808,30.90,9.90,27,1/2(1),1,1,2,NA
ICN 53808,34.60,9.60,28, 1/2,1,1,2,NA
ICN 53808,33.50,10.85,28,1/2(1),1,1,2,NA
ICN 53808,40.95,13.60,28,1/2(1),1,1,2,NA
ICN 53808,35.25,11.70,29,1/2(1),1,1,2,NA
ICN 53808,39.90,12.65,31,1/2(1),1,1,2,NA
ICN 53808,39.50,13.75,34,1/2(1),1,1,2,NA
ICN 53808,48.75,17.10,35, 1/2,1,1,2,NA
ICN 53808,49.95,16.05,36, 1/2,1,1,2,NA
ICN 53808,46.95,16.15,37, 1/2,1,1,2,NA
ICN 53808,55.15,17.45,37, 1/2,1,1,2,NA
ICN 53808,54.50,19.20,40, 1/2,1,1,2,NA
ICN 53808,58.80,20.15,40,NA,NA,NA,NA,NA
